name,status,category,NEW PRODUCT,new price
HERBS SAGE,,HERBS,,$2.49 
HERBS TARAGON,,HERBS,,$2.49 
HERBS THYME,,HERBS,,$2.49 
AEGEAN CHOC SULTANAS,DEACTIVE,NUTS GST,,
AEGEAN ALMOND FLAKES,DEACTIVE,NUTS NON GST,,
AEGEAN HOLDEN SULTANAS 500G,DEACTIVE,NUTS NON GST,,
AEGEAN PEPITAS,,NUTS NON GST,,$6.50 
SALTED CHANA,,NUTS NON GST,,4.49
SUNDRIED SULTANAS 500G,DEACTIVE,NUTS NON GST,,
SUPREME MIX 400G,DEACTIVE,NUTS NON GST,,
ASPARAGUS,,VEG,,$3.49 
ASPARAGUS 2 FOR4,DEACTIVE,VEG,,
BACK TO SCHOOL DEAL,DEACTIVE,VEG,,
BEANS LOOSE,,VEG,,$11.99 
BEANS SNAKE TRAY,DEACTIVE,VEG,,
BEANS TUB/BAG,DEACTIVE,VEG,,
BEETTROOT BUNCH,DEACTIVE,VEG,,
BITTER MELON,DEACTIVE,VEG,,
BROCCOLI,,VEG,,$9.99 
BROCCOLI TRAY,DEACTIVE,VEG,,
BROCCOLIN 2FOR 7,,VEG,,$7.00 
BROCCOLINI,,VEG,,$3.99 
BROWN ONION BAG 2FOR4,DEACTIVE,VEG,,
CABBAGE DRUMHEAD,,VEG,,$7.99 
CABBAGE RED,,VEG,,$6.99 
CABBAGE SUGAR LOAF,,VEG,,$6.99 
CAPSICUM BABY TUB,DEACTIVE,VEG,,
CAPSICUM RED,,VEG,,$8.99 
CAPSICUM RED BAG,DEACTIVE,VEG,,
CAPSICUM TRAY,,VEG,,$3.49 
CARROT DUTCH,DEACTIVE,VEG,,
CARROT PRE PACK 2 FOR 3,,VEG,,$3.00 
CARROTS SNACKABLES,DEACTIVE,VEG,,
CASAVA,DEACTIVE,VEG,,
CAULIFLOWER,,VEG,,$6.99 
CAULIFLOWER DEAL,DEACTIVE,VEG,,
CAULIFLOWER SPECIAL,DEACTIVE,VEG,,
CELERIAC,DEACTIVE,VEG,,
CELERY,,VEG,,$3.99 
CHILLI TRAY,DEACTIVE,VEG,,
CHINESE VEGE 2 FOR 3,DEACTIVE,VEG,,
CORN 2 FOR 3,,VEG,,$3.00 
CORN BABY,DEACTIVE,VEG,,
CORN TRAY,,VEG,,$3.49 
CUCUMBER 2 FOR 3,DEACTIVE,VEG,,
CUCUMBER BABY,,VEG,,$2.99 
CUCUMBER CONTINENTAL,,VEG,,$1.99 
CUCUMBER GREEN,DEACTIVE,VEG,,
CUCUMBER LEBENESE,,VEG,,$5.99 
CURRY,DEACTIVE,VEG,,
EGGPLANT LEBENESE TRAY,DEACTIVE,VEG,,
EGGPLANT TRAY,DEACTIVE,VEG,,
EGGPLANY LEBANESE,DEACTIVE,VEG,,
ESHALLOTS 2 FOR 3,DEACTIVE,VEG,,
GARLIC ARGENTINA,DEACTIVE,VEG,,
GARLIC AUSTRALIAN,DEACTIVE,VEG,,
GARLIC SPANISH,,VEG,NEW PRODUCT,24.99
GINGER 500G BAG,DEACTIVE,VEG,,
GINGER LOOSE,,VEG,,$29.99 
LEEKS,,VEG,,$2.99 
LEEKS DEAL,DEACTIVE,VEG,,
LEEKS SPECIAL,DEACTIVE,VEG,,
LETTUCE BABY COS,DEACTIVE,VEG,,
LETTUCE BUTTER SPECIAL,DEACTIVE,VEG,,
LETTUCE FANCY GREEN,,VEG,,$3.49 
LETTUCE FANCY RED,DEACTIVE,VEG,,
LETTUCE ICEBURG,,VEG,,$2.99 
LONG MELON,DEACTIVE,VEG,,
MISC EACH,DEACTIVE,VEG,,
MISC VEG KG,DEACTIVE,VEG,,
MUSHROOMS BUTTON,,VEG,,$12.99 
MUSHROOMS TUB,DEACTIVE,VEG,,
ONION BUCKET,DEACTIVE,VEG,,
ONIONS BROWN 10 KG BAG,,VEG,,$11.99 
ONIONS BROWN 1KG BAG,,VEG,,$1.99 
ONIONS RED 10 KG BAG,DEACTIVE,VEG,,
PAK CHOY,,VEG,,$3.49 
PARSNIP TRAY,,VEG,,$3.49 
POTATO PURPLE,DEACTIVE,VEG,,
POTATOES BRUSHED 3KG BAG,,VEG,,$4.99 
POTATOES BUCKET,DEACTIVE,VEG,,
POTATOES SWEET BUCKET,,VEG,,$0.99 
POTATOES SWEET2 FOR 4,DEACTIVE,VEG,,$4.00 
POTATOES WASHED 2KG,DEACTIVE,VEG,,
PUMPKIN BABY,,VEG,NEW PRODUCT,4.99
pumpkin deal,DEACTIVE,VEG,,
PUMPKIN JAP WHOLE,,VEG,,$0.99 
RADICCHIO EACH,DEACTIVE,VEG,NEW PRODUCT,2.99
SALAD SPINACH 500G,DEACTIVE,VEG,,
SILVERBEET BUNCH,,VEG,,$3.99 
SINQUA,DEACTIVE,VEG,,
SPROUTS BRUSSEL TUB,DEACTIVE,VEG,,
SQUASH GEM,DEACTIVE,VEG,,
TARO,DEACTIVE,VEG,,
TOM TRUSS CHERRY DEAL,DEACTIVE,VEG,,
TOMATO BUCKET,DEACTIVE,VEG,,
TOMATO MIX,,VEG,,$3.49 
TOMATOES CHERRY,,VEG,,$2.99 
TOMATOES CHERRY 500G,DEACTIVE,VEG,,$3.99 
TOMATOES GRAPE,,VEG,,$3.49 
TOMATOES GRAPE 2 FOR 6,,VEG,,$6.00 
TOMATOES ROMA TRAY,DEACTIVE,VEG,,
TOMATOES TINY TOM,,VEG,NEW PRODUCT,$2.99 
TOMATOES TRUSS,,VEG,,$4.99 
TOMATOES TRUSS CHERRY,DEACTIVE,VEG,,$4.99 
VEG CUT 3.09,REMOVE,VEG,,
VEGE CUT 1.59,REMOVE,VEG,,
VEGE CUT 2.09,REMOVE,VEG,,
VEGE CUT 2.59,REMOVE,VEG,,
VEGE CUT 3.59,REMOVE,VEG,,
ZUCCHINI BUCKET,DEACTIVE,VEG,,
ZUCCHINI TRAY,DEACTIVE,VEG,,
BREAD,,,,
DAIRY,,,,
FLOWER,,,,
FLOWERS,,,,
Grocery Non GST,,,,
HERBS,,,,
MILK,,,,
NUTS GST,,,,
NUTS NON GST,,,,
SSM FROZEN CASSAVA,,,,
WHOLESALE,,,,
WHOLESALE,,,,
